totaal(deaths)	crew(deaths)	passenger(deaths)	ground(deaths)	notes(deaths)	type	incident	aircraft	location	phase	airport	distance	date
149	5	95	49		COM	Mandala Airlines Flight 091	Boeing 737-230	indonmeMedan, Indonesia	ICL [114][115]	MES	c. 1 km (0.6 mi)	9/5/2005
149	7	64	78		COM	EAS Airlines Flight 4226	BAC One-Eleven 500	nigerikKano, Nigeria	ENR [116]			5/4/2002
148	13	135	0	†	COM	Flash Airlines Flight 604	Boeing 737-3Q8	egshRed Sea, off Sharm el-Sheikh, Egypt	ENR [117]			1/3/2004
148	7	141	0	†	COM	Iberia Airlines Flight 610	Boeing 727-256	spmtOiz mountain, Spain	ENR [118]			2/19/1985
146	8	138	0	†	COM	Dan-Air Flight 1008	Boeing 727-46	spctlLa Esperanza Forrest, Tenerife, Canary Islands, Spain	APR [119]	TFN	12 km (7.5 mi)	4/25/1980
145	9	136	0	†	COM	Vladivostok Air Flight 352	Tupolev Tu-154M	ruirnear Budaro, Irkutsk, Russia	APR [120]	IKT	23 km (14 mi)	7/4/2001
144	10	134	0	†	COM	ADC Airlines Flight 86	Boeing 727-231	nigeriejEjirin, Lagos State, Nigeria	APR [121]	LOS	56 km (35 mi)	11/7/1996
144	7	137	0	†	COM	Independent Air Flight 1851	Boeing 707-331B	porasPico Alto Mtn., Azores, Portugal	APR [122]	SMA	6.6 km (4.1 mi)	2/8/1989
144	9	128	7	†	COM	PSA Flight 182 and Private aircraft (N7711G)	Boeing 727-214 and Cessna 172	uscasdSan Diego, California, US	APR [123][124]	SAN	5.6 km (3.5 mi)	9/25/1978
143	8	135	0	†	COM	Gulf Air Flight 072	Airbus A320-212	bahPersian Gulf, off Al Muharraq, Bahrain	APR [126]	BAH	2 km (1.2 mi)	8/23/2000
143	7	136	0	†	COM	Avianca Flight 410	Boeing 727-21	colsSardinata, Colombia	ENR [127]			3/17/1988
143	12	109	22	†	MIL	Indonesian Air Force C-130	Lockheed C-130 Hercules	WeMedan, Indonesia	ICL [125]	MES	1 km (0.6 mi)	6/30/2015
141	5	136	0		COM	UTAGE Flight 141	Boeing 727-223	benCotonou, Benin	TOF [128]	COO	<1 km (0.6 mi)	12/25/2003
141	11	130	0	†	COM	Vnukovo Airlines Flight 2801	Tupolev Tu-154M	NoSvalbard, Norway	APR [129]	LYR	14.3 km (8.9 mi)	8/29/1996
141	4	137	0		COM	Trans Service Airlift (9Q-CRR)	Lockheed L-188 Electra	ancJamba, Cuando Cubango, Angola	TOF [130]			12/18/1995
141	10	131	0	†	COM	China Southern Airlines Flight 3943	Boeing 737-31B	chinysHejiaqiao, Yanshan District, China	APR [131]	KWL	20 km (12 mi)	11/24/1992
137	9	128	0	†	COM	VASP Flight 168	Boeing 727-212A	brpaPacatuba, Brazil	APR [134]	FOR	25 km (16 mi)	6/8/1982
